Town,Bdrs,median_ownership_per_bed,own_listings,ZIP_CODE
"Otis, MA",3,835.15,6,01253
"Oxford, MA",3,981.25,70,01540
"Oxford, MA",4,925.24,22,01540
"Oxford, MA",5,1112.08,3,01540
"Palmer, MA",3,763.19,49,01069
"Palmer, MA",4,585.48,20,01069
"Paxton, MA",3,1008.51,16,01612
"Paxton, MA",4,1161.15,16,01612
"Peabody, MA",3,1450.07,109,01960
"Peabody, MA",4,1316.51,67,01960
"Peabody, MA",5,1072.83,19,01960
"Peabody, MA",6,1011.23,6,01960
"Pelham, MA",3,1060.84,6,01002
"Pelham, MA",4,817.71,5,01002
"Pembroke, MA",3,1319.24,76,02359
"Pembroke, MA",4,1267.45,32,02359
"Pembroke, MA",5,1112.08,5,02359
"Pepperell, MA",3,1283.26,48,01463
"Pepperell, MA",4,1128.44,48,01463
"Pepperell, MA",5,941.87,3,01463
"Petersham, MA",3,1013.96,3,01366
"Petersham, MA",4,801.35,5,01366
"Phillipston, MA",3,1232.01,17,01331
"Phillipston, MA",4,1005.78,7,01331
"Pittsfield, MA",3,679.24,42,01201
"Pittsfield, MA",4,600.05,20,01201
"Plainville, MA",3,1286.53,22,02762
"Plainville, MA",4,1259.27,22,02762
"Plymouth, MA",3,1355.11,260,02360
"Plymouth, MA",4,1291.98,100,02360
"Plymouth, MA",5,967.51,8,02360
"Plympton, MA",3,1330.14,8,02367
"Plympton, MA",4,1169.32,5,02367
"Princeton, MA",3,1134.79,13,01541
"Princeton, MA",4,1232.2,14,01541
"Quincy, MA",3,1512.22,106,02169
"Quincy, MA",4,1360.09,52,02169
"Quincy, MA",5,1177.5,11,02169
"Quincy, MA",6,1079.38,6,02169
"Quincy, MA",7,1074.7,3,02169
"Randolph, MA",3,1233.98,93,02368
"Randolph, MA",4,1095.73,49,02368
"Randolph, MA",5,863.5,13,02368
"Randolph, MA",6,1005.78,6,02368
"Raynham, MA",3,1297.43,57,02767
"Raynham, MA",4,1218.39,39,02767
"Raynham, MA",5,1242.92,5,02767
"Reading, MA",3,1583.08,35,01867
"Reading, MA",4,1435.08,28,01867
"Reading, MA",5,1386.83,9,01867
"Rehoboth, MA",3,1179.68,47,02769
"Rehoboth, MA",4,1345.13,38,02769
"Rehoboth, MA",5,885.74,8,02769
"Revere, MA",3,1417.36,74,02151
"Revere, MA",4,1267.45,45,02151
"Revere, MA",5,1170.96,25,02151
"Revere, MA",6,1031.4,14,02151
"Rochester, MA",3,1460.97,23,02770
"Rochester, MA",4,1304.16,8,02770
